File: label_jan\2020-01-30.csv
Number of clusters: 24

Cluster distribution:
Cluster 0: 2032 nodes
Cluster 1: 2 nodes
Cluster 2: 7 nodes
Cluster 3: 2 nodes
Cluster 4: 28 nodes
Cluster 5: 4 nodes
Cluster 6: 2 nodes
Cluster 7: 3 nodes
Cluster 8: 2 nodes
Cluster 9: 2 nodes
Cluster 10: 2 nodes
Cluster 11: 2 nodes
Cluster 12: 2 nodes
Cluster 13: 2 nodes
Cluster 14: 2 nodes
Cluster 15: 2 nodes
Cluster 16: 2 nodes
Cluster 17: 2 nodes
Cluster 18: 2 nodes
Cluster 19: 2 nodes
Cluster 20: 2 nodes
Cluster 21: 2 nodes
Cluster 22: 2 nodes
Cluster 23: 2 nodes
